ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 05:00:00,24405.75,24423.55,24352.35,24371.55,24006
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 06:00:00,24373.25,24414.85,24349.95,24381.35,24448
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 07:00:00,24381.25,24402.75,24319.65,24333.25,33683
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 08:00:00,24332.25,24369.25,24281.45,24321.35,52701
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 09:00:00,24322.85,24425.65,24276.65,24403.85,56517
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 10:00:00,24402.85,24403.45,24347.45,24366.95,36539
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 11:00:00,24367.05,24389.25,24284.95,24323.45,36901
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 12:00:00,24323.25,24334.35,24198.95,24222.35,54892
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 13:00:00,24222.55,24297.05,24103.05,24279.35,99756
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 14:00:00,24279.15,24322.05,24183.35,24265.25,106473
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 15:00:00,24265.35,24353.1,24173.7,24251.1,89430
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 16:00:00,24250.9,24298.4,24201.65,24232.95,77265
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 17:00:00,24232.65,24262.65,24155.85,24234.95,63424
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 18:00:00,24235.05,24304.7,24199.55,24290.7,59277
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 19:00:00,24290.4,24467.6,24282.35,24351.1,72305
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 20:00:00,24350.73,24409.65,24339.9,24393.62,23408
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 22:00:00,24412.63,24440.15,24387.55,24418.75,8215
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-19 23:00:00,24418.85,24441.05,24387.95,24402.15,10386
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 00:00:00,24402.25,24424.75,24364.95,24380.95,21102
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 01:00:00,24380.65,24443.05,24373.65,24400.25,26149
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 02:00:00,24401.15,24424.25,24393.95,24403.05,18068
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 03:00:00,24402.85,24411.35,24380.05,24393.05,12912
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 04:00:00,24393.35,24404.95,24367.45,24368.55,9872
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 05:00:00,24368.65,24385.55,24342.05,24375.05,16468
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 06:00:00,24374.35,24386.45,24301.65,24311.7,16124
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 07:00:00,24311.2,24389.05,24264.95,24375.95,23066
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 08:00:00,24376.15,24397.85,24335.95,24341.15,32071
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 09:00:00,24341.65,24367.95,24190.95,24214.15,39899
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 10:00:00,24214.45,24222.45,24102.15,24189.15,45814
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 11:00:00,24188.95,24250.45,24180.05,24226.25,36614
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 12:00:00,24228.15,24284.05,24207.75,24279.05,41872
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 13:00:00,24279.65,24309.75,24062.25,24067.95,82932
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 14:00:00,24067.85,24110.35,24014.35,24052.75,94557
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 15:00:00,24052.85,24125.3,24019.3,24094.45,82247
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 16:00:00,24095.15,24138.9,24017.55,24054.7,67809
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 17:00:00,24054.4,24074.6,23952.95,23999.25,63757
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 18:00:00,23999.05,24009.25,23860.25,23881.85,65202
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 19:00:00,23881.95,23899.35,23753.6,23895.35,60889
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-20 20:00:00,23894.85,24002.85,23877.27,23998.62,31325
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-22 22:00:00,23719.15,23884.25,23709.4,23833.45,31185
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-22 23:00:00,23833.35,23871.95,23764.25,23794.85,24019
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 00:00:00,23795.15,23878.45,23729.35,23738.25,52227
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 01:00:00,23738.45,23861.45,23725.45,23832.85,53925
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 02:00:00,23832.65,23857.25,23778.65,23798.15,38537
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 03:00:00,23798.35,23815.65,23738.65,23742.15,28060
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 04:00:00,23742.35,23792.55,23734.45,23785.25,25321
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 05:00:00,23785.15,23822.25,23723.25,23762.25,34285
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 06:00:00,23761.95,23765.15,23615.65,23644.35,36342
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 07:00:00,23643.35,23702.55,23562.15,23630.55,43235
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 08:00:00,23630.35,23743.85,23629.25,23720.35,60906
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 09:00:00,23723.15,23759.65,23633.85,23671.65,49112
NASDAQ100 - MINI NASDAQ100 FULL0926|NASDAQ100 INDEX,NAS100.p,2026-03-23 10:00:00,23671.55,23717.45,23604.65,23669.15,45661
