ticker_lutessia,symbole_mt5,datetime,open,high,low,close,tick_volume
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-27 21:00:00,14494.24,14516.24,14339.24,14355.24,32366
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-28 21:00:00,14352.72,14471.72,14325.72,14411.72,36030
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-29 21:00:00,14403.17,14560.17,14354.17,14556.17,40249
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-11-30 21:00:00,14582.68,14605.68,14416.68,14488.68,41545
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-01 21:00:00,14460.24,14584.24,14362.24,14541.24,37452
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-04 21:00:00,14534.22,14545.22,14389.22,14436.22,38277
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-05 21:00:00,14453.74,14474.74,14242.74,14296.74,45538
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-06 21:00:00,14312.42,14373.42,14215.42,14280.42,49053
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-07 21:00:00,14265.1,14304.1,14191.1,14290.1,43232
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-08 21:00:00,14281.78,14387.78,14209.78,14325.78,43198
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-11 21:00:00,14297.93,14368.93,14257.93,14366.93,36800
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-12 21:00:00,14362.24,14678.24,14299.24,14460.24,57282
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-13 21:00:00,14472.61,14492.61,14360.61,14383.61,45642
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-14 21:00:00,14400.06,14448.61,13959.61,13986.06,80903
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-15 21:00:00,13995.74,14037.79,13809.79,13904.79,47381
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-18 21:00:00,13926.81,13996.51,13869.31,13895.31,33200
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-19 21:00:00,13909.75,13945.25,13687.75,13912.75,38075
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-20 21:00:00,13951.51,14095.71,13904.21,14053.51,28989
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-21 21:00:00,14065.6,14152.3,13829.6,13933.1,32738
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-22 21:00:00,13923.01,13994.71,13861.21,13949.01,28044
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-26 21:00:00,14005.13,14056.33,13957.33,13973.13,24105
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-27 21:00:00,13970.23,14013.43,13866.23,13872.73,28392
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-28 21:00:00,13877.92,14074.12,13852.92,14047.92,24284
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2022-12-29 21:00:00,14031.08,14037.08,13809.58,13827.58,24468
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-02 21:00:00,13961.97,14287.67,13893.47,14207.47,42869
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-03 21:00:00,14190.77,14501.47,14189.27,14485.27,39305
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-04 21:00:00,14477.1,14504.6,14394.3,14443.1,36927
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-05 21:00:00,14454.84,14674.84,14378.04,14657.84,34801
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-08 21:00:00,14670.04,14827.24,14620.24,14728.04,33017
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-09 21:00:00,14713.4,14840.9,14669.4,14839.4,31203
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-10 21:00:00,14861.23,15001.23,14791.93,14999.73,26177
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-11 21:00:00,14986.99,15122.49,14949.19,15093.49,35166
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-12 21:00:00,15101.92,15148.42,15033.62,15144.42,29885
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-15 21:00:00,15140.18,15195.18,15080.38,15109.18,15622
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-16 21:00:00,15132.01,15270.21,15078.21,15183.51,26687
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-17 21:00:00,15151.25,15266.75,15119.75,15123.75,30240
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-18 21:00:00,15105.52,15134.22,14900.72,14984.52,35025
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-19 21:00:00,14994.88,15096.88,14936.08,15093.88,26139
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-22 21:00:00,15078.6,15144.6,15018.8,15128.8,23610
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-23 21:00:00,15120.05,15157.55,15017.25,15100.55,23390
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-24 21:00:00,15083.01,15143.51,14962.71,15143.01,25843
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-25 21:00:00,15153.87,15217.87,15063.57,15174.37,26406
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-26 21:00:00,15148.61,15184.11,15070.31,15150.11,21373
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-29 21:00:00,15150.23,15160.93,14983.93,15101.73,27932
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-30 21:00:00,15115.02,15191.52,14989.22,15191.52,23831
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-01-31 21:00:00,15159.05,15316.05,15101.75,15266.05,26786
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-01 21:00:00,15278.86,15540.86,15252.36,15521.36,33831
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-02 21:00:00,15500.17,15505.17,15343.87,15422.17,34890
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-05 21:00:00,15380.72,15406.42,15275.92,15358.22,31392
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-06 21:00:00,15382.46,15438.96,15273.16,15433.96,34850
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-07 21:00:00,15405.53,15489.73,15369.73,15440.53,31614
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-08 21:00:00,15446.49,15657.19,15402.49,15433.49,32930
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-09 21:00:00,15437.84,15481.04,15240.04,15328.34,36755
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-10 18:00:00,15314.84,15333.34,15303.84,15323.84,1563
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-10 19:00:00,15323.34,15342.34,15313.34,15328.34,1280
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-12 21:00:00,15273.16,15427.16,15240.66,15424.16,23018
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-12 23:00:00,15273.16,15291.66,15249.16,15250.66,402
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 00:00:00,15250.16,15269.66,15240.66,15262.16,654
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 01:00:00,15261.66,15273.16,15257.66,15271.66,401
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 02:00:00,15270.66,15286.16,15256.66,15259.66,350
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 03:00:00,15258.66,15262.66,15251.16,15259.66,245
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 04:00:00,15260.16,15287.66,15260.16,15283.66,352
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 05:00:00,15283.16,15295.16,15271.66,15292.16,500
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 06:00:00,15293.16,15327.86,15290.66,15314.86,1494
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 07:00:00,15313.36,15373.86,15300.86,15358.36,2452
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 08:00:00,15358.86,15371.86,15319.86,15331.36,1701
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 09:00:00,15330.86,15349.86,15324.86,15333.36,1414
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 10:00:00,15333.86,15367.36,15331.36,15362.36,1081
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 11:00:00,15361.36,15384.86,15359.86,15380.36,1163
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 12:00:00,15379.36,15383.36,15362.36,15365.36,1170
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 13:00:00,15366.36,15408.86,15361.36,15383.36,2342
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 14:00:00,15384.36,15403.36,15374.36,15402.36,1804
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 15:00:00,15401.36,15418.86,15388.86,15407.86,1180
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 16:00:00,15407.36,15417.16,15403.66,15405.66,925
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 17:00:00,15405.16,15424.66,15405.16,15413.16,1053
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 18:00:00,15414.16,15416.66,15395.16,15411.66,1299
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 19:00:00,15412.16,15427.16,15408.66,15424.16,1036
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 21:00:00,15415.89,15526.09,15359.09,15460.39,34791
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-13 23:00:00,15415.89,15416.39,15393.89,15396.89,357
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 00:00:00,15396.39,15396.89,15377.39,15384.89,341
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 01:00:00,15384.39,15386.89,15374.39,15385.39,272
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 02:00:00,15384.89,15390.39,15377.89,15388.89,243
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 03:00:00,15387.89,15395.39,15385.39,15388.39,224
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 04:00:00,15387.39,15394.89,15385.39,15394.89,247
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 05:00:00,15394.39,15410.89,15383.39,15398.39,459
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 06:00:00,15398.89,15438.39,15390.09,15403.59,1521
DAX40 FULL0926|DAX40 PERF INDEX,GER40.p,2023-02-14 07:00:00,15404.09,15467.59,15396.09,15420.59,2220
