date_creation,ticker,rr_tp1,rr_tp2,statut_final,r_trailing,resolution_time_est,prix_entree,stop_loss_init
2023-11-14 08:26:54,DAX40 PERF INDEX,1.973022615084372,6.822408449087307,OBJECTIF ATTEINT,1.973022615084372,2023-11-14 16:12:49,15357.16,15270.05
2023-11-15 18:50:57,USD/JPY,1.3589743589743437,2.735042735042688,INVALIDÉE,-1.0,2023-11-16 02:36:52,151.34,150.17
2023-11-17 20:30:54,AUD/USD,1.7500000000000868,4.875000000000217,OBJECTIF ATTEINT,1.7500000000000868,2023-11-18 04:16:49,0.6514,0.6498
2023-11-24 10:28:24,EUR/JPY,1.4800000000000182,2.6000000000000227,OBJECTIF ATTEINT,1.4800000000000182,2023-11-24 18:14:19,163.19,162.94
2023-11-27 11:27:18,AUD/JPY,1.9999999999998817,10.3333333333329,INVALIDÉE,-1.0,2023-11-27 19:13:13,98.4,98.28
2023-11-27 23:26:30,AUD/USD,2.111111111111036,5.9999999999998765,OBJECTIF ATTEINT,2.111111111111036,2023-11-28 07:12:25,0.6608,0.659
2023-11-28 17:31:19,EUR/JPY,2.142857142857008,4.666666666666441,OBJECTIF ATTEINT,2.142857142857008,2023-11-29 01:17:14,162.23,162.44
2023-11-28 21:25:47,NZD/USD,2.071428571428645,7.28571428571458,OBJECTIF ATTEINT,2.071428571428645,2023-11-29 05:11:42,0.6134,0.612
2023-12-01 09:28:32,NZD/USD,1.999999999999926,3.7999999999998817,INVALIDÉE,-1.0,2023-12-01 17:14:27,0.6178,0.6163
2023-12-03 21:24:23,USD/CHF,1.363636363636315,3.2121212121211165,INVALIDÉE,-1.0,2023-12-04 05:10:18,0.8684,0.8717
2023-12-06 08:28:06,DAX40 PERF INDEX,2.08534937983545,6.038683531867835,OBJECTIF ATTEINT,2.08534937983545,2023-12-06 16:14:01,16551.18,16469.75
2023-12-06 20:31:20,GBP/JPY,2.8600000000000136,3.2200000000000277,OBJECTIF ATTEINT,2.8600000000000136,2023-12-07 04:17:15,185.03,185.53
2023-12-10 22:23:53,EUR/GBP,1.583333333333372,2.66666666666679,INVALIDÉE,-1.0,2023-12-11 06:09:48,0.8582,0.857
2023-12-12 16:32:48,EUR/GBP,1.5000000000000555,3.6000000000000445,OBJECTIF ATTEINT,1.5000000000000555,2023-12-13 00:18:43,0.8599,0.8589
2023-12-14 08:27:23,EUR/GBP,1.9500000000000053,6.0499999999999945,INVALIDÉE,-1.0,2023-12-14 16:13:18,0.8629,0.8609
2023-12-19 05:26:10,AUD/USD,1.3823529411764983,1.7352941176470849,OBJECTIF ATTEINT,1.3823529411764983,2023-12-19 13:12:05,0.6725,0.6691
2023-12-20 14:47:59,NASDAQ100 INDEX,2.3290937996820027,7.679153418123911,INVALIDÉE,-1.0,2023-12-20 22:33:54,16774.58,16573.3
2023-12-20 16:33:49,EUR/USD,1.6521739130435118,4.4347826086957065,INVALIDÉE,-1.0,2023-12-21 00:19:44,1.0967,1.0944
