date_creation,ticker,timeframe,stop_loss_init,tp1_init,tp2_init,statut_final,is_full_dated,commodity
2025-03-07 20:00:00,NATURAL GAS,Journalier,4.283,4.564,5.141,INVALIDÉE,False,natural_gas
2025-02-18 20:00:00,NATURAL GAS,Journalier,3.807,4.319,4.561,OBJECTIF ATTEINT,False,natural_gas
2025-02-14 20:03:01,NATURAL GAS,Journalier,3.682,3.807,4.319,OBJECTIF ATTEINT,False,natural_gas
2025-02-12 15:07:53,NATURAL GAS,Journalier,3.497,3.682,3.807,OBJECTIF ATTEINT,False,natural_gas
2025-02-10 05:27:06,NATURAL GAS,1H,3.373,3.497,3.716,SEUIL PRÉSERVÉ,False,natural_gas
2025-02-06 12:33:00,NATURAL GAS,1H,3.299,3.497,3.599,SEUIL PRÉSERVÉ,False,natural_gas
2025-01-16 12:57:40,NATURAL GAS,Journalier,3.945,4.38,4.787,INVALIDÉE,False,natural_gas
2025-01-09 17:53:57,NATURAL GAS,Journalier,3.738,3.949,4.38,INVALIDÉE,False,natural_gas
2024-12-12 18:35:26,NATURAL GAS,1H,3.479,3.546,3.669,INVALIDÉE,False,natural_gas
2024-11-20 21:26:19,NATURAL GAS,1H,3.176,3.331,3.504,OBJECTIF ATTEINT,False,natural_gas
2024-10-03 22:38:00,NATURAL GAS,1H,2.946,2.999,3.065,INVALIDÉE,False,natural_gas
2024-10-02 09:28:39,NATURAL GAS,1H,2.886,2.999,3.065,OBJECTIF ATTEINT,False,natural_gas
2026-01-23 16:23:30,PALLADIUM,1H,2023.3,2067.43,2118.2,OBJECTIF ATTEINT,False,palladium
2026-01-23 03:11:50,PALLADIUM,1H,1934.94,2023.3,2118.2,OBJECTIF ATTEINT,False,palladium
2026-01-09 12:18:29,PALLADIUM,1H,1848.0,2023.3,2118.2,SEUIL PRÉSERVÉ,False,palladium
2025-12-24 07:48:01,PALLADIUM,Journalier,1972.3,2118.2,2286.7,INVALIDÉE,False,palladium
2025-12-23 14:18:35,PALLADIUM,1H,1934.94,1972.3,2118.2,OBJECTIF ATTEINT,False,palladium
2025-12-18 04:14:30,PALLADIUM,1H,1744.48,1774.77,1934.94,OBJECTIF ATTEINT,False,palladium
2025-12-17 14:18:05,PALLADIUM,1H,1709.3,1744.48,1774.77,INVALIDÉE,False,palladium
2025-12-16 19:18:21,PALLADIUM,1H,1641.0,1709.3,1744.48,OBJECTIF ATTEINT,False,palladium
2025-12-12 12:19:00,PALLADIUM,1H,1544.3,1626.07,1686.13,INVALIDÉE,False,palladium
2025-12-10 04:13:17,PALLADIUM,1H,1518.43,1566.0,1626.07,INVALIDÉE,False,palladium
2025-12-09 17:19:22,PALLADIUM,1H,1544.3,1566.0,1626.07,INVALIDÉE,False,palladium
2025-12-02 21:55:47,PALLADIUM,Journalier,1481.13,1544.3,1677.63,OBJECTIF ATTEINT,False,palladium
2025-11-27 00:15:37,PALLADIUM,1H,1450.5,1499.6,1505.3,SEUIL PRÉSERVÉ,False,palladium
2025-11-26 23:18:19,PALLADIUM,1H,1394.9,1450.5,1468.83,OBJECTIF ATTEINT,False,palladium
2025-11-12 15:22:19,PALLADIUM,1H,1473.2,1509.5,1578.97,OBJECTIF ATTEINT,False,palladium
2025-11-11 12:17:42,PALLADIUM,1H,1462.5,1486.5,1509.5,INVALIDÉE,False,palladium
2025-11-05 01:16:29,PALLADIUM,1H,1423.5,1371.23,1356.5,INVALIDÉE,False,palladium
2025-10-13 20:18:58,PALLADIUM,1H,1523.5,1549.0,1587.73,INVALIDÉE,False,palladium
2025-10-13 06:12:45,PALLADIUM,1H,1490.25,1523.5,1549.0,OBJECTIF ATTEINT,False,palladium
2025-10-07 17:55:38,PALLADIUM,Journalier,1338.4,1472.8,1607.1,OBJECTIF ATTEINT,False,palladium
2025-09-23 13:18:26,PALLADIUM,1H,1249.47,1277.5,1338.4,INVALIDÉE,False,palladium
2025-09-10 11:17:15,PALLADIUM,1H,1195.5,1233.3,1249.47,SEUIL PRÉSERVÉ,False,palladium
2025-09-02 23:18:25,PALLADIUM,1H,1155.89,1179.1,1249.47,OBJECTIF ATTEINT,False,palladium
2025-09-01 03:17:25,PALLADIUM,1H,1146.5,1157.5,1165.5,OBJECTIF ATTEINT,False,palladium
2025-07-23 07:13:30,PALLADIUM,1H,1322.23,1352.5,1373.5,OBJECTIF ATTEINT,False,palladium
2025-07-11 17:19:39,PALLADIUM,1H,1254.83,1316.97,1440.43,OBJECTIF ATTEINT,False,palladium
2025-07-11 15:56:49,PALLADIUM,Journalier,1237.97,1316.97,1440.43,INVALIDÉE,False,palladium
2025-07-11 09:17:34,PALLADIUM,1H,1215.0,1237.97,1254.83,OBJECTIF ATTEINT,False,palladium
2025-07-04 02:12:11,PALLADIUM,1H,1146.0,1174.0,1193.5,INVALIDÉE,False,palladium
2025-06-27 05:31:52,PALLADIUM,Journalier,1109.2,1237.97,1693.98,OBJECTIF ATTEINT,False,palladium
2025-06-26 09:13:45,PALLADIUM,1H,1094.56,1158.9,1237.97,OBJECTIF ATTEINT,False,palladium
2025-06-23 19:48:46,PALLADIUM,Journalier,1055.45,1158.9,1237.97,OBJECTIF ATTEINT,False,palladium
2025-06-09 10:16:44,PALLADIUM,1H,1083.01,1114.7,1197.33,SEUIL PRÉSERVÉ,False,palladium
2025-06-06 07:12:28,PALLADIUM,1H,1027.0,1035.5,1054.8,OBJECTIF ATTEINT,False,palladium
2025-06-03 14:22:03,PALLADIUM,1H,1006.16,1032.5,1054.8,SEUIL PRÉSERVÉ,False,palladium
2025-05-20 16:35:49,PALLADIUM,1H,1001.66,1050.57,1078.51,SEUIL PRÉSERVÉ,False,palladium
2025-04-14 17:33:33,PALLADIUM,1H,930.97,985.47,1002.04,SEUIL PRÉSERVÉ,False,palladium
2025-04-14 06:28:21,PALLADIUM,1H,908.97,925.03,955.0,OBJECTIF ATTEINT,False,palladium
2025-03-31 06:27:53,PALLADIUM,1H,983.5,1001.84,1033.6,OBJECTIF ATTEINT,False,palladium
2025-03-27 12:30:54,PALLADIUM,1H,978.94,988.0,995.5,OBJECTIF ATTEINT,False,palladium
2025-03-18 12:31:07,PALLADIUM,1H,977.5,995.5,1001.84,INVALIDÉE,False,palladium
2025-03-18 03:28:10,PALLADIUM,1H,972.08,984.0,995.5,OBJECTIF ATTEINT,False,palladium
2025-03-10 22:27:38,PALLADIUM,1H,948.38,924.6,908.28,INVALIDÉE,False,palladium
2025-03-07 15:39:41,PALLADIUM,1H,958.9,971.0,1001.84,INVALIDÉE,False,palladium
2025-02-21 21:29:33,PALLADIUM,1H,985.6,976.0,941.43,OBJECTIF ATTEINT,False,palladium
2025-02-13 20:37:27,PALLADIUM,1H,1015.44,1046.53,1077.5,INVALIDÉE,False,palladium
2025-02-06 19:36:53,PALLADIUM,1H,995.34,981.07,964.0,INVALIDÉE,False,palladium
2025-02-04 03:31:55,PALLADIUM,1H,1046.53,1077.5,1103.7,INVALIDÉE,False,palladium
2025-01-31 15:40:43,PALLADIUM,1H,1034.0,1090.23,1103.7,SEUIL PRÉSERVÉ,False,palladium
2025-01-09 23:41:59,PALLADIUM,1H,939.0,949.0,995.34,OBJECTIF ATTEINT,False,palladium
2025-01-07 21:28:19,PALLADIUM,1H,920.0,945.0,957.0,SEUIL PRÉSERVÉ,False,palladium
2024-12-18 12:31:09,PALLADIUM,1H,945.0,905.57,895.1,OBJECTIF ATTEINT,False,palladium
2024-12-17 10:31:51,PALLADIUM,1H,945.0,928.45,895.1,SEUIL PRÉSERVÉ,False,palladium
2024-12-11 18:35:58,PALLADIUM,1H,1002.5,1022.53,1046.5,INVALIDÉE,False,palladium
2024-11-22 01:28:27,PALLADIUM,1H,1032.5,1080.53,1103.0,INVALIDÉE,False,palladium
2024-11-08 10:29:48,PALLADIUM,1H,1021.3,993.84,949.23,OBJECTIF ATTEINT,False,palladium
2024-10-24 07:29:57,PALLADIUM,1H,1107.4,1147.63,1205.27,OBJECTIF ATTEINT,False,palladium
2024-10-22 05:43:52,PALLADIUM,Journalier,1045.1,1107.4,1236.1,OBJECTIF ATTEINT,False,palladium
2024-10-10 22:52:29,PALLADIUM,Journalier,1067.4,1107.4,1236.1,INVALIDÉE,False,palladium
2024-10-07 19:33:04,PALLADIUM,1H,1005.5,1045.1,1059.5,INVALIDÉE,False,palladium
2024-09-23 07:27:01,PALLADIUM,1H,1046.77,1038.23,993.84,INVALIDÉE,False,palladium
2026-01-27 04:50:33,PLATINUM,Journalier,2554.53,2907.37,3039.07,INVALIDÉE,False,platinum
2026-01-26 05:13:47,PLATINUM,1H,2816.17,2946.03,3026.87,INVALIDÉE,False,platinum
2026-01-16 14:17:29,PLATINUM,1H,2331.57,2277.96,2235.1,INVALIDÉE,False,platinum
2026-01-06 17:20:05,PLATINUM,1H,2420.2,2496.0,2585.6,INVALIDÉE,False,platinum
2025-12-31 08:14:08,PLATINUM,1H,2029.84,1944.07,1858.13,INVALIDÉE,False,platinum
2025-12-22 01:14:11,PLATINUM,1H,2026.0,2115.07,2182.93,OBJECTIF ATTEINT,False,platinum
2025-12-17 14:18:03,PLATINUM,1H,1898.83,1993.37,2005.24,OBJECTIF ATTEINT,False,platinum
2025-12-12 12:18:59,PLATINUM,1H,1724.5,1836.33,1881.0,SEUIL PRÉSERVÉ,False,platinum
2025-12-11 18:18:34,PLATINUM,1H,1697.4,1736.0,1771.48,OBJECTIF ATTEINT,False,platinum
2025-11-12 17:18:41,PLATINUM,1H,1622.6,1644.03,1712.8,OBJECTIF ATTEINT,False,platinum
2025-11-11 12:17:41,PLATINUM,1H,1605.42,1630.0,1644.03,INVALIDÉE,False,platinum
2025-11-10 08:13:16,PLATINUM,1H,1587.06,1606.47,1619.28,INVALIDÉE,False,platinum
2025-11-04 10:16:00,PLATINUM,1H,1567.4,1508.0,1501.6,SEUIL PRÉSERVÉ,False,platinum
2025-10-24 17:17:48,PLATINUM,1H,1582.0,1644.03,1668.74,INVALIDÉE,False,platinum
2025-10-08 05:12:53,PLATINUM,1H,1678.0,1718.9,1771.48,SEUIL PRÉSERVÉ,False,platinum
2025-09-26 17:19:38,PLATINUM,1H,1546.5,1621.0,1750.58,OBJECTIF ATTEINT,False,platinum
2025-09-23 15:22:40,PLATINUM,1H,1471.77,1516.83,1621.0,SEUIL PRÉSERVÉ,False,platinum
2025-09-22 09:16:23,PLATINUM,1H,1414.55,1452.6,1516.83,SEUIL PRÉSERVÉ,False,platinum
2025-09-03 00:16:58,PLATINUM,1H,1406.37,1442.8,1452.6,OBJECTIF ATTEINT,False,platinum
2025-08-29 19:21:15,PLATINUM,1H,1362.78,1385.1,1452.6,OBJECTIF ATTEINT,False,platinum
2025-08-19 00:15:25,PLATINUM,1H,1345.1,1320.26,1308.8,INVALIDÉE,False,platinum
2025-08-07 23:15:41,PLATINUM,1H,1352.6,1373.3,1395.3,INVALIDÉE,False,platinum
2025-08-06 19:19:54,PLATINUM,1H,1337.52,1373.3,1412.24,SEUIL PRÉSERVÉ,False,platinum
2025-07-11 17:19:37,PLATINUM,1H,1452.6,1508.7,1569.5,INVALIDÉE,False,platinum
2025-07-11 10:17:31,PLATINUM,1H,1422.6,1452.6,1569.5,OBJECTIF ATTEINT,False,platinum
2025-06-26 13:39:03,PLATINUM,Journalier,1313.1,1438.1,1472.8,OBJECTIF ATTEINT,False,platinum
2025-06-18 22:13:10,PLATINUM,1H,1300.5,1357.1,1438.1,INVALIDÉE,False,platinum
2025-06-18 09:14:56,PLATINUM,1H,1268.7,1300.5,1357.1,OBJECTIF ATTEINT,False,platinum
2025-06-13 06:30:22,PLATINUM,Journalier,1186.7,1360.7,1438.1,OBJECTIF ATTEINT,False,platinum
2025-06-11 04:12:27,PLATINUM,1H,1210.47,1268.6,1360.7,OBJECTIF ATTEINT,False,platinum
2025-06-10 22:33:52,PLATINUM,Journalier,1186.7,1268.7,1360.7,OBJECTIF ATTEINT,False,platinum
2025-06-09 08:16:41,PLATINUM,1H,1195.17,1268.6,1438.1,SEUIL PRÉSERVÉ,False,platinum
2025-06-06 05:10:51,PLATINUM,1H,1148.2,1186.7,1268.6,SEUIL PRÉSERVÉ,False,platinum
2025-06-04 17:16:48,PLATINUM,1H,1084.43,1104.8,1148.2,OBJECTIF ATTEINT,False,platinum
2025-05-25 23:29:09,PLATINUM,1H,1091.3,1104.8,1148.2,INVALIDÉE,False,platinum
2025-05-20 16:35:47,PLATINUM,1H,1042.6,1064.69,1091.3,OBJECTIF ATTEINT,False,platinum
2025-05-19 06:26:58,PLATINUM,1H,987.1,1001.6,1005.0,OBJECTIF ATTEINT,False,platinum
2025-04-14 09:32:12,PLATINUM,1H,954.38,971.3,989.0,INVALIDÉE,False,platinum
2025-03-18 04:26:49,PLATINUM,1H,1022.5,1048.5,1079.71,INVALIDÉE,False,platinum
2025-03-12 08:31:33,PLATINUM,1H,989.24,1014.85,1048.5,SEUIL PRÉSERVÉ,False,platinum
2025-03-05 13:35:51,PLATINUM,1H,972.9,995.17,1003.8,INVALIDÉE,False,platinum
2024-12-13 19:37:20,PLATINUM,1H,929.9,911.0,890.9,INVALIDÉE,False,platinum
2024-12-03 01:28:27,PLATINUM,1H,947.6,959.1,963.6,OBJECTIF ATTEINT,False,platinum
2024-10-24 13:27:56,PLATINUM,1H,1042.7,1057.08,1092.2,INVALIDÉE,False,platinum
2024-10-24 05:26:04,PLATINUM,1H,1035.4,1042.7,1048.7,OBJECTIF ATTEINT,False,platinum
